songid,Song_Name,Artist,Year,Winner
ID0063,Lover,Taylor Swift,2019,FALSE
ID0064,My Heart Will Go On,"James Horner , Will Jennings",1999,TRUE
ID0065,Need You Now,"Lady Antebellum, Josh Kear",2011,TRUE
ID0066,Norman F—ing Rockwell,"Jack Antonoff , Lana Del Rey",2019,FALSE
ID0067,Not Ready To Make Nice,"Dixie Chicks , Dan Wilson",2007,TRUE
ID0068,Ordinary People,"W. Adams , John Legend",2006,FALSE
ID0069,Poker Face,"Lady Gaga , RedOne",2010,FALSE
ID0070,Pretty Wings,"Hod David , Musze",2010,FALSE
ID0071,Put Your Records On,"John Beck, Steve Christanthou , Corinne Bailey Rae",2007,FALSE
ID0072,Rehab,Amy Winehouse,2008,TRUE
ID0073,Roar,"Lukasz Gottwalk, Max Martin, Bonnie McKee, Katy Perry , Henry Walter",2014,FALSE
ID0074,Rolling In The Deep,"Adele , Paul Epworth",2012,TRUE
ID0075,Royals,"Joel Little , Lorde",2014,TRUE
ID0076,Same Love,"Macklemore, Mary Lambert , Ryan Lewis",2014,FALSE
ID0077,Say My Name,"La Shawn Daniels, Fred Jerkins III, Rodney Jerkins, Beyoncé Knowles, LeToya Lucket, LaTavia Roberson , Kelendria Rowland",2001,FALSE
ID0078,See You Again,"Andrew Cedar,Justin Franks, Charlie Puth , Wiz Khalifa",2016,FALSE
ID0079,Shake It Off,"Max Martin, Shellback , Taylor Swift",2015,FALSE
ID0080,Shallow,"Lady Gaga, Mark Ronson, Anthony Rossomando , Andrew Wyatt",2018,FALSE
ID0081,Single Ladies (Put A Ring On It),"Thaddis Harrell, Beyoncé, Terius Nash , Christopher Stewart",2010,TRUE
ID0082,Smooth,"Itaal Shur , Rob Thomas",2000,TRUE
ID0083,Someone You Loved,"Tom Barnes, Lewis Capaldi, Pere Kelleher, Benjamin Kohn , Sam Roman",2019,FALSE
ID0084,Sometimes You Can't Make It On Your Own,U2,2006,TRUE
ID0085,Stay With Me,"James Napier, William Phillips , Sam Smith",2015,TRUE
ID0086,Stronger (What Doesn't Kill You),"Jorgen Elofsson, David Gamson, Greg Kurstin , Ali Tamposi",2013,FALSE
ID0087,Stuck In A Moment You Can't Get Out Of,U2,2002,FALSE
ID0088,Take Me To Church,Hozier,2015,FALSE
ID0089,That's What I Like,"Christopher Brody Brown, James Fauntleroy, Philip Lawrence, Bruno Mars, Ray Charles McCullough II, Jeremy Reeves, Ray Romulus , Jonathan Yip",2017,TRUE
ID0090,The A Team,Ed Sheeran,2013,FALSE
ID0091,The Cave,"Mumford , Sons",2012,FALSE
ID0092,The House That Built M,"Tom Douglas , Allen Shambolin",2011,FALSE
ID0093,The Joke,"Brandi Carlile, Dave Cobb, Phil Hanseroth , Tim Hanseroth",2018,FALSE
ID0094,The Middle,"Sarah Aarons, Jordan K. Johnson, Stefan Johnson, Marcus Lomax, Grey , Zedd",2018,FALSE
ID0095,The Reason,Hoobastank,2005,FALSE
ID0096,The Rising,Bruce Springsteen,2003,FALSE
ID0097,Thinking Out Loud,Ed Sheeran,2016,TRUE
ID0098,This Is America,"Childish Gambino , Ludwig Goransson",2018,TRUE
ID0099,Truth Hurts,"Steven Cheung, Eric Frederic, Lizzo , Jesse Saint John",2019,FALSE
ID0100,Umbrella,"Shawn Carter, Kuk Harrell, Terius 'Dream' Nash , Christopher Stewart",2008,FALSE
ID0101,Unpretty,"Dallas Austin , Tionne T-Boz Watkins",2000,FALSE
ID0102,Use Somebody,Kings Of Leon,2010,FALSE
ID0103,Video,"India.Arie, Carlos Broady , Shannon Sanders",2002,FALSE
ID0104,Viva La Vida,Coldplay,2009,TRUE
ID0105,We Are Young,Fun,2013,TRUE
ID0106,We Belong Together,"J. Austin, Mariah Carey, J. Dupri , M. Seal",2006,FALSE
ID0107,Where Were You (When The World Stopped Turning),Alan Jackson,2003,FALSE
ID0108,You Belong With Me,"Liz Rose , Taylor Swift",2010,FALSE
ID0109,You're Beautiful,"James Blunt, Amanda Ghost , Sacha Skarbek",2007,FALSE
ID0110,You've Got A Way,"Robert John Mutt Lange , Shania Twain",2000,FALSE
